country,iso3,region,thesis_core,summary_pt,summary_en,score,classification,trend,regulatory_model,stablecoin_maturity,tokenization_maturity,cbdc_posture,authorities,principal_laws,opportunities_pt,risks_pt,detailed_analysis_pt,references
El Salvador,SLV,Latin America,True,"El Salvador permanece simbolicamente importante para a política cripto, com um regime institucional de ativos digitais apesar das reformas no status do Bitcoin como moeda de curso legal.","El Salvador remains symbolically important for crypto policy, with an institutional digital asset regime despite reforms to Bitcoin’s legal-tender status.",68,favorable,stable,favorable,possible,open,not central,National Commission of Digital Assets (CNAD) | Central Reserve Bank / Bitcoin registries,Digital Assets Issuance Law | Bitcoin Law reforms,Emissão de ativos digitais | Experimentação regulatória,Risco-país | Volatilidade de política,"El Salvador continua importante por tratar a política cripto como estratégia de Estado, e não como regulação periférica. A Lei de Emissão de Ativos Digitais e a CNAD deram ao país um framework especializado de licenciamento e emissão. Mesmo após reformas no status de curso legal do Bitcoin, El Salvador ainda oferece trilha distinta para emissão de ativos digitais e prestação de serviços.",https://cnad.gob.sv/
Paraguay,PRY,Latin America,True,"O Paraguai possui energia abundante e potencial para mineração, mas o tratamento jurídico dos criptoativos permanece fragmentado e menos maduro institucionalmente.","Paraguay has abundant energy and mining potential, but its legal treatment of crypto remains fragmented and less institutionally mature.",51,mixed,stable,mixed,unclear,incipient,not central,Banco Central del Paraguay (BCP) | Dirección Nacional de Ingresos Tributarios (DNIT) | SEPRELAD,Tax reporting measures | Central bank warnings,Mineração | Energia de baixo custo,Baixa segurança jurídica,"O Paraguai é estrategicamente relevante por sua energia barata e potencial para mineração, mas seu framework cripto permanece menos maduro que o das jurisdições líderes da tese. Em 2026, obrigações de reporte tributário sobre criptoativos ficaram mais explícitas, e a atenção institucional ligada a AML aumentou. O país é, assim, importante como caso de fronteira: alto potencial econômico, menor densidade jurídica.",https://www.bcp.gov.py/
Argentina,ARG,Latin America,False,"A Argentina é uma jurisdição de alta adoção de cripto, impulsionada pela inflação, em que a demanda social superou a consolidação jurídica.","Argentina is a high-adoption, inflation-driven crypto jurisdiction where social demand has outpaced legal consolidation.",59,mixed,improving,,,,,CNV | BCRA | UIF / tax and AML bodies,Tax and reporting measures | Central bank restrictions history,Demanda por stablecoins | Adoção empreendedora,Instabilidade macroeconômica,"A Argentina é estrategicamente relevante porque a inflação elevada e a demanda por substitutos do dólar tornaram cripto e stablecoins socialmente centrais. O quadro regulatório já não é puramente informal: a CNV avançou em registro e em medidas ligadas à tokenização, mas o framework mais amplo segue menos integrado e menos previsível do que na UE. O país é analiticamente útil como exemplo de regulação puxada pela adoção, e não de adoção puxada pela regulação.",https://www.bcra.gob.ar/
Chile,CHL,Latin America,False,"O Chile oferece uma via de regulação de cripto orientada por serviços e fintech, com crescente formalização sob supervisão da CMF.","Chile offers a service-based, fintech-oriented route to crypto regulation, with increasing formalisation under CMF oversight.",61,mixed,improving,,,,,CMF Chile | UAF / AML layer | tax authorities,Fintech Law | Central bank studies,Infraestrutura | Clareza institucional,Regulação cripto específica limitada,"O Chile é relevante como caso de regulação centrada em fintech, e não em um único estatuto geral de cripto. A CMF operacionalizou a Lei Fintech por meio de regras sobre registro, autorização, governança e compliance. Isso produz um modelo mais orientado a serviços do que a classes de ativos. A força da trajetória chilena está na institucionalização gradual; sua limitação é que questões especificamente cripto, como arquitetura de stablecoins e tokenização, ainda dependem de interpretação e de regulação incremental.",https://www.cmfchile.cl/
Nigeria,NGA,Africa,False,"A Nigéria é um mercado de cripto socialmente importante em movimento para maior formalização, mas ainda marcado por oscilação institucional.","Nigeria is a socially important crypto market moving toward greater formalisation, but still marked by institutional oscillation.",43,restrictive,mixed,,,,,Securities and Exchange Commission Nigeria | Central Bank of Nigeria | Nigerian FIU / AML bodies,eNaira framework | Regulatory circulars,Base alta de adoção,Reversões de política,"A Nigéria é analiticamente importante porque uso social, remessas e pressões cambiais deram aos criptoativos um papel prático forte antes do surgimento de um framework jurídico plenamente coerente. A SEC evoluiu para registro e supervisão formal de VASPs, enquanto o sistema ainda carrega os efeitos de restrições bancárias anteriores e de oscilações de política pública. A Nigéria ilustra, assim, uma jurisdição em que a pressão da adoção força a regularização institucional, mas a credibilidade do enforcement e a coerência interagências permanecem desafios centrais.",https://www.cbn.gov.ng/
China,CHN,Asia,False,A China é o caso mais claro de proibição de cripto privado combinada com forte centralização estatal da moeda digital.,China is the clearest case of private-crypto prohibition combined with strong state digital-currency centralisation.,29,very_restrictive,stable,,,,,People’s Bank of China | State financial and cyberspace authorities,Crypto trading bans | e-CNY program,Blockchain empresarial sob estrutura estatal,Restrições severas | Centralização estatal,"A China permanece essencial ao quadro comparativo porque representa o caso mais nítido de exclusão do desenvolvimento privado do mercado cripto, ao lado de uma estratégia estatal forte de infraestrutura monetária digital. A negociação privada de cripto e atividades correlatas continuam proibidas, enquanto o Estado preserva uma lógica monopolista em torno do dinheiro digital legítimo. A jurisdição é útil na tese como caso-limite de centralização monetária digital. Sinais recentes sobre tokenização de ativos do mundo real não alteram a posição anticroipto de fundo, embora possam indicar experimentação controlada fora da lógica clássica do mercado cripto.",https://www.pbc.gov.cn/
India,IND,Asia,False,"A Índia combina adoção massiva com regulação fragmentada, forte tributação e crescente escrutínio AML.","India combines massive adoption with fragmented regulation, strong taxation and increasing AML scrutiny.",40,restrictive,mixed,,,,,Ministry of Finance | FIU-IND | tax authorities | Reserve Bank of India,Tax provisions | RBI digital rupee pilot,Grande mercado doméstico,Tributação punitiva,"A Índia é uma das maiores jurisdições do mundo em adoção de cripto, mas seu modelo jurídico continua mais fragmentado do que abrangente. A tributação sobre ativos digitais virtuais e os deveres de AML para prestadores coexistem com a ausência de um estatuto plenamente integrado de estrutura de mercado. Isso faz da Índia um exemplo crucial de jurisdição em que a realidade de mercado é forte, mas a sistematização jurídica permanece incompleta. Para a tese, ela ilustra como alta adoção social não se traduz automaticamente em desenho institucional coerente.",https://www.rbi.org.in/
Japan,JPN,Asia,False,"O Japão se destaca como jurisdição de cripto ordenada e de alta credibilidade, com debate maduro sobre stablecoins.","Japan stands out as an orderly, high-credibility crypto jurisdiction with a mature stablecoin conversation.",70,favorable,stable,,,,,Financial Services Agency (FSA) | JVCEA / self-regulatory layer | Bank of Japan,Payment Services Act | FSA guidance,Confiança institucional | Stablecoins,Alto ônus de compliance,"O Japão é uma das jurisdições de cripto mais maduras institucionalmente fora da Europa. Ele combina regulação legal, licenciamento e mecanismos autorregulatórios com uma abertura cautelosa, mas real, a stablecoins e à infraestrutura confiável de mercado. Seu valor comparativo na tese está em mostrar que é possível criar um ambiente regulatório de alta credibilidade sem recorrer nem à proibição nem à improvisação regulatória.",https://www.fsa.go.jp/en/
South Korea,KOR,Asia,False,"A Coreia do Sul caminha para um regime mais coerente de ativos virtuais, com forte ênfase em proteção do usuário e credibilidade do mercado.","South Korea is moving toward a more coherent virtual-asset regime, with strong emphasis on user protection and market credibility.",64,mixed,improving,,,,,Financial Services Commission (FSC) | Financial Supervisory Service (FSS) | Korea Exchange / related bodies,Virtual Asset User Protection Act,Conduta de mercado e tokenização,Requisitos rigorosos de onboarding,"A Coreia do Sul é importante porque combina intensa participação de varejo com uma cultura regulatória voltada à proteção do usuário, à credibilidade do mercado e a regras mais rígidas de entrada. O sistema vem evoluindo de preocupações mais estreitas de proteção do investidor para uma supervisão mais ampla do mercado. Isso torna a Coreia um ponto intermediário útil entre experimentação fragmentada e um framework mais sistematizado de ativos virtuais.",https://www.fsc.go.kr/eng/
Australia,AUS,Oceania,False,A Austrália está construindo um regime cripto funcional e focado em plataformas por meio da extensão da legislação existente de serviços financeiros.,"Australia is building a functional, platform-focused crypto regime by extending existing financial-services law.",68,favorable,improving,,,,,Australian Treasury | ASIC | AUSTRAC | RBA (payments / CBDC context),Treasury consultation papers | ASIC guidance,Mineração e tokenização,Arcabouço ainda em evolução,"A Austrália é analiticamente atraente porque escolheu não reinventar toda a arquitetura jurídica, mas adaptar a legislação existente de serviços financeiros a plataformas de ativos digitais e custódia tokenizada. Trata-se de um exemplo forte de estratégia de regulação funcional: em vez de regular todo cripto da mesma forma, o sistema mira os segmentos mais conectados a custódia, intermediação e risco ao consumidor. A principal vantagem é a coerência com o direito legado; o principal desafio é garantir que a inovação fora do perímetro visado não permaneça em incerteza.",https://treasury.gov.au/
Canada,CAN,North America,False,"O Canadá oferece um modelo coordenado e orientado por valores mobiliários para plataformas cripto, prático, mas menos unificado do que sistemas ao estilo MiCA.","Canada offers a coordinated, securities-led model for crypto platforms, practical but less unified than MiCA-style systems.",71,favorable,stable,,,,,Canadian Securities Administrators (CSA) | provincial securities commissions | FINTRAC / AML layer | Bank of Canada in systemic discussions,CSA guidance | FINTRAC rules,Mercados institucionais | Mineração,Complexidade provincial,"O Canadá é relevante porque construiu um framework relativamente operacional para plataformas de negociação de cripto por meio da regulação de valores mobiliários e da coordenação provincial. Em vez de adotar uma lei geral única de cripto, o Canadá se apoiou em registro, exemptive relief, undertakings e enforcement. Isso produz um framework prático e relativamente disciplinado para plataformas, mas também mais estreito e menos conceitualmente unificado do que um estatuto ao estilo MiCA.",https://www.securities-administrators.ca/
